package	function	cluster	impact	raw_first_edit	raw_first_ref_ir	raw_first_self_ir	semantic_first_edit	semantic_first_ref_ir	semantic_first_self_ir
option	"_CN11cjcj:option13GlobalOptions12IsLTOEnabledHv"	CG-METADATA-NUMBERING	cosmetic	replace	  %v12 = load i32, i32 addrspace(1)* %v11, align 4, !untrusted_ref !6	  %v12 = load i32, i32 addrspace(1)* %v11, align 4, !untrusted_ref !15	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option13GlobalOptions13ParseFromArgsHCNY_7ArgListE"	CG-BLOCK-LAYOUT	functional	replace	L3: ; preds = %v36, %v37, %v38, %v39	L3: ; preds = %v36, %v37, %v38	replace	L3: ; preds = %v36, %v37, %v38, %v39	L3: ; preds = %v36, %v37, %v38
option	"_CN11cjcj:option13GlobalOptions13ProcessInputsHRNat5ArrayIRNat6StringEE"	CG-BRANCH-OPERAND	functional	replace	  br i1 %v149, label %v150, label %v39	  br i1 %v149, label %v150, label %v151	replace	  br i1 %v149, label %v150, label %v39	  br i1 %v149, label %v150, label %v151
option	"_CN11cjcj:option13GlobalOptions14TryParseOptionHCNY_17OptionArgInstanceECNY_7ArgListE"	CG-METADATA-NUMBERING	cosmetic	replace	  %v145 = load i8 addrspace(1)*, i8 addrspace(1)** %v15, align 8, !untrusted_ref !7	  %v145 = load i8 addrspace(1)*, i8 addrspace(1)** %v15, align 8, !untrusted_ref !6	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option13GlobalOptions15EnableSanitizerHv"	CG-METADATA-NUMBERING	cosmetic	replace	  %v12 = load i32, i32 addrspace(1)* %v11, align 4, !untrusted_ref !7	  %v12 = load i32, i32 addrspace(1)* %v11, align 4, !untrusted_ref !6	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option13GlobalOptions16IsEmitCHIREnableHv"	CG-METADATA-NUMBERING	cosmetic	replace	  %v12 = load i32, i32 addrspace(1)* %v11, align 4, !untrusted_ref !5	  %v12 = load i32, i32 addrspace(1)* %v11, align 4, !untrusted_ref !9	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option13GlobalOptions16IsFullLTOEnabledHv"	CG-METADATA-NUMBERING	cosmetic	replace	  %v12 = load i32, i32 addrspace(1)* %v11, align 4, !untrusted_ref !7	  %v12 = load i32, i32 addrspace(1)* %v11, align 4, !untrusted_ref !6	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option13GlobalOptions17CompileExecutableHv"	CG-METADATA-NUMBERING	cosmetic	replace	  %v14 = load i32, i32 addrspace(1)* %v13, align 4, !untrusted_ref !5	  %v14 = load i32, i32 addrspace(1)* %v13, align 4, !untrusted_ref !6	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option13GlobalOptions17GetLtoVisiblePkgsHv"	CG-CALLSITE-ATTRIBUTE	functional	replace	  call void @_CNac9ArrayListIG_E7toArrayHv(%v1* noalias sret(%v1) %v6, i8 addrspace(1)* %v14, %v4* @"std.collection:ArrayList<std.core:String>.ti")	  call void @_CNac9ArrayListIG_E7toArrayHv(%v1* noalias sret(i8) %v6, i8 addrspace(1)* %v14, %v4* @"std.collection:ArrayList<std.core:String>.ti")	replace	  call void @_CNac9ArrayListIG_E7toArrayHv(%v1* noalias sret(%v1) %v6, i8 addrspace(1)* %v14, %v4* @"std.collection:ArrayList<std.core:String>.ti")	  call void @_CNac9ArrayListIG_E7toArrayHv(%v1* noalias sret(i8) %v6, i8 addrspace(1)* %v14, %v4* @"std.collection:ArrayList<std.core:String>.ti")
option	"_CN11cjcj:option13GlobalOptions17HandleBCExtensionHRNat6StringE"	CG-EXTRA-CALL	functional	replace	  %v13 = bitcast i8 addrspace(1)* %v1 to %v4* addrspace(1)*	  %v13 = call i8* @llvm.cj.get.vtable.func(i8* bitcast (%v4* @"cjcj/option:GlobalOptions.ti" to i8*), i64 2, i64 4, i8* bitcast (%v4* @"cjcj/option:GlobalOptions.ti" to i8*))	replace	  %v13 = bitcast i8 addrspace(1)* %v1 to %v4* addrspace(1)*	  %v13 = call i8* @llvm.cj.get.vtable.func(i8* bitcast (%v4* @"cjcj/option:GlobalOptions.ti" to i8*), i64 2, i64 4, i8* bitcast (%v4* @"cjcj/option:GlobalOptions.ti" to i8*))
option	"_CN11cjcj:option13GlobalOptions17HandleCJExtensionHRNat6StringE"	CG-EXTRA-CALL	functional	replace	  %v23 = bitcast i8 addrspace(1)* %v1 to %v4* addrspace(1)*	  %v23 = call i8* @llvm.cj.get.vtable.func(i8* bitcast (%v4* @"cjcj/option:GlobalOptions.ti" to i8*), i64 2, i64 4, i8* bitcast (%v4* @"cjcj/option:GlobalOptions.ti" to i8*))	replace	  %v23 = bitcast i8 addrspace(1)* %v1 to %v4* addrspace(1)*	  %v23 = call i8* @llvm.cj.get.vtable.func(i8* bitcast (%v4* @"cjcj/option:GlobalOptions.ti" to i8*), i64 2, i64 4, i8* bitcast (%v4* @"cjcj/option:GlobalOptions.ti" to i8*))
option	"_CN11cjcj:option13GlobalOptions18HandleCJDExtensionHRNat6StringE"	CG-EXTRA-CALL	functional	replace	  %v21 = bitcast i8 addrspace(1)* %v1 to %v4* addrspace(1)*	  %v21 = call i8* @llvm.cj.get.vtable.func(i8* bitcast (%v4* @"cjcj/option:GlobalOptions.ti" to i8*), i64 2, i64 4, i8* bitcast (%v4* @"cjcj/option:GlobalOptions.ti" to i8*))	replace	  %v21 = bitcast i8 addrspace(1)* %v1 to %v4* addrspace(1)*	  %v21 = call i8* @llvm.cj.get.vtable.func(i8* bitcast (%v4* @"cjcj/option:GlobalOptions.ti" to i8*), i64 2, i64 4, i8* bitcast (%v4* @"cjcj/option:GlobalOptions.ti" to i8*))
option	"_CN11cjcj:option13GlobalOptions18HandleCJOExtensionHRNat6StringE"	CG-EXTRA-CALL	functional	replace	  %v14 = bitcast i8 addrspace(1)* %v1 to %v4* addrspace(1)*	  %v14 = call i8* @llvm.cj.get.vtable.func(i8* bitcast (%v4* @"cjcj/option:GlobalOptions.ti" to i8*), i64 2, i64 4, i8* bitcast (%v4* @"cjcj/option:GlobalOptions.ti" to i8*))	replace	  %v14 = bitcast i8 addrspace(1)* %v1 to %v4* addrspace(1)*	  %v14 = call i8* @llvm.cj.get.vtable.func(i8* bitcast (%v4* @"cjcj/option:GlobalOptions.ti" to i8*), i64 2, i64 4, i8* bitcast (%v4* @"cjcj/option:GlobalOptions.ti" to i8*))
option	"_CN11cjcj:option13GlobalOptions18PerformPostActionsHv"	CG-EXTRA-CALL	functional	replace	  br i1 %v331, label %v332, label %v303	  br i1 %v331, label %v332, label %v333	replace	  br i1 %v331, label %v332, label %v303	  br i1 %v331, label %v332, label %v333
option	"_CN11cjcj:option13GlobalOptions21ValidateInputFilePathHRNat6StringE"	CG-EXTRA-CALL	functional	replace	  %v9 = bitcast %v3* %v5 to i8*	  %v9 = call i8* @llvm.cj.get.vtable.func(i8* bitcast (%v3* @"cjcj/option:GlobalOptions.ti" to i8*), i64 2, i64 4, i8* bitcast (%v3* @"cjcj/option:GlobalOptions.ti" to i8*))	replace	  %v9 = bitcast %v3* %v5 to i8*	  %v9 = call i8* @llvm.cj.get.vtable.func(i8* bitcast (%v3* @"cjcj/option:GlobalOptions.ti" to i8*), i64 2, i64 4, i8* bitcast (%v3* @"cjcj/option:GlobalOptions.ti" to i8*))
option	"_CN11cjcj:option13GlobalOptions22HandleArchiveExtensionHRNat6StringE"	CG-EXTRA-CALL	functional	replace	  %v13 = bitcast i8 addrspace(1)* %v1 to %v4* addrspace(1)*	  %v13 = call i8* @llvm.cj.get.vtable.func(i8* bitcast (%v4* @"cjcj/option:GlobalOptions.ti" to i8*), i64 2, i64 4, i8* bitcast (%v4* @"cjcj/option:GlobalOptions.ti" to i8*))	replace	  %v13 = bitcast i8 addrspace(1)* %v1 to %v4* addrspace(1)*	  %v13 = call i8* @llvm.cj.get.vtable.func(i8* bitcast (%v4* @"cjcj/option:GlobalOptions.ti" to i8*), i64 2, i64 4, i8* bitcast (%v4* @"cjcj/option:GlobalOptions.ti" to i8*))
option	"_CN11cjcj:option13GlobalOptions23GenerateFrontendOptionsHv"	CG-BLOCK-LAYOUT	functional	replace	L3: ; preds = %v40, %v41, %v42, %v43, %v44	L3: ; preds = %v40, %v41, %v42	replace	L3: ; preds = %v40, %v41, %v42, %v43, %v44	L3: ; preds = %v40, %v41, %v42
option	"_CN11cjcj:option13GlobalOptions24CollectOrderedInputFilesHCNY_12ArgListEntryEm"	CG-BLOCK-LAYOUT	functional	replace	  %v23 = load i32, i32 addrspace(1)* %v22, align 4, !untrusted_ref !6	  %v23 = load i32, i32 addrspace(1)* %v22, align 4, !untrusted_ref !18	replace	L5: ; preds = %v61, %v62, %v63, %v64, %v65	L5: ; preds = %v61, %v62
option	"_CN11cjcj:option13GlobalOptions28OutputModeToSerializedStringHv"	CG-METADATA-NUMBERING	cosmetic	replace	  %v16 = load i32, i32 addrspace(1)* %v15, align 4, !untrusted_ref !5	  %v16 = load i32, i32 addrspace(1)* %v15, align 4, !untrusted_ref !12	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option13GlobalOptions29BackendTypeToSerializedStringHv"	CG-METADATA-NUMBERING	cosmetic	replace	  %v15 = load i32, i32 addrspace(1)* %v14, align 4, !untrusted_ref !160	  %v15 = load i32, i32 addrspace(1)* %v14, align 4, !untrusted_ref !5	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option13GlobalOptions29IsCHIROptimizationLevelOverO2Hv"	CG-METADATA-NUMBERING	cosmetic	replace	  %v22 = load i32, i32 addrspace(1)* %v21, align 4, !untrusted_ref !6	  %v22 = load i32, i32 addrspace(1)* %v21, align 4, !untrusted_ref !15	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option13GlobalOptions31SanitizerTypeToSerializedStringHv"	CG-METADATA-NUMBERING	cosmetic	replace	  %v15 = load i32, i32 addrspace(1)* %v14, align 4, !untrusted_ref !6	  %v15 = load i32, i32 addrspace(1)* %v14, align 4, !untrusted_ref !7	equal	<identical after metadata-number normalization>	<identical after metadata-number normalization>
option	"_CN11cjcj:option13GlobalOptions34SelectedCHIROptsToSerializedStringHv"	CG-INSTRUCTION-SELECTION	functional	replace	  br label %v62	  %v62 = call i8 addrspace(1)* @"_CN10cjcj:utils5Out646appendHm"(i8 addrspace(1)* %v11, i64 %v61, %v4* @"cjcj/utils:Out64.ti")	replace	  br label %v62	  %v62 = call i8 addrspace(1)* @"_CN10cjcj:utils5Out646appendHm"(i8 addrspace(1)* %v11, i64 %v61, %v4* @"cjcj/utils:Out64.ti")
option	"_CN11cjcj:option13GlobalOptions36PassedWhenKeyValueToSerializedStringHv"	CG-MANGLED-GLOBAL-REFERENCE	functional	replace	  %v46 = call noalias i8 addrspace(1)* @llvm.cj.malloc.object(i8* bitcast (%v4* @"std.collection:ArrayList<cjcj/option:_CN11cjcj:optionUOption$7CfgPairE>.ti" to i8*), i32 40)	  %v46 = call noalias i8 addrspace(1)* @llvm.cj.malloc.object(i8* bitcast (%v4* @"std.collection:ArrayList<cjcj/option:CfgPair>.ti" to i8*), i32 40)	replace	  %v46 = call noalias i8 addrspace(1)* @llvm.cj.malloc.object(i8* bitcast (%v4* @"std.collection:ArrayList<cjcj/option:_CN11cjcj:optionUOption$7CfgPairE>.ti" to i8*), i32 40)	  %v46 = call noalias i8 addrspace(1)* @llvm.cj.malloc.object(i8* bitcast (%v4* @"std.collection:ArrayList<cjcj/option:CfgPair>.ti" to i8*), i32 40)
