block	gap_kind	named_symbol	source_anchor	severity	status	judge_evidence
b1	MISSING	CollectGeneric	/root/cj_build/cangjie_compiler/src/Sema/Collector.h:65	BOOTSTRAP	REMAINING	MISSING exact identifier `CollectGeneric`: absent in current packages/
b1	MISSING	CollectClassDecl	/root/cj_build/cangjie_compiler/src/Sema/Collector.h:66	BOOTSTRAP	REMAINING	MISSING exact identifier `CollectClassDecl`: absent in current packages/
b1	MISSING	CollectClassBody	/root/cj_build/cangjie_compiler/src/Sema/Collector.h:67	BOOTSTRAP	REMAINING	MISSING exact identifier `CollectClassBody`: absent in current packages/
b1	MISSING	CollectInterfaceDecl	/root/cj_build/cangjie_compiler/src/Sema/Collector.h:68	BOOTSTRAP	REMAINING	MISSING exact identifier `CollectInterfaceDecl`: absent in current packages/
b1	MISSING	CollectInterfaceBody	/root/cj_build/cangjie_compiler/src/Sema/Collector.h:69	BOOTSTRAP	REMAINING	MISSING exact identifier `CollectInterfaceBody`: absent in current packages/
b1	MISSING	CollectEnumDecl	/root/cj_build/cangjie_compiler/src/Sema/Collector.h:70	BOOTSTRAP	REMAINING	MISSING exact identifier `CollectEnumDecl`: absent in current packages/
b1	MISSING	CollectStructDecl	/root/cj_build/cangjie_compiler/src/Sema/Collector.h:71	BOOTSTRAP	REMAINING	MISSING exact identifier `CollectStructDecl`: absent in current packages/
b1	MISSING	CollectStructBody	/root/cj_build/cangjie_compiler/src/Sema/Collector.h:72	BOOTSTRAP	REMAINING	MISSING exact identifier `CollectStructBody`: absent in current packages/
b1	MISSING	CollectExtendDecl	/root/cj_build/cangjie_compiler/src/Sema/Collector.h:73	BOOTSTRAP	REMAINING	MISSING exact identifier `CollectExtendDecl`: absent in current packages/
b1	MISSING	CollectMainDecl	/root/cj_build/cangjie_compiler/src/Sema/Collector.h:74	BOOTSTRAP	FIXED	MISSING at audit base; now packages/sema/src/Collector.cj:75 `collector.CollectMainDecl(ctx, mainDecl, walkerBox.value.getOrThrow(), buildTrie: buildTrie)` (+1 matches); added by 3405d988 `fix(sema): preserve collected declaration state` (packages/sema/src/Collector.cj); FEATURE_DEBT.md mentions this identifier
b1	MISSING	CollectFuncBody	/root/cj_build/cangjie_compiler/src/Sema/Collector.h:76	BOOTSTRAP	REMAINING	MISSING exact identifier `CollectFuncBody`: absent in current packages/
b1	MISSING	CollectPropDecl	/root/cj_build/cangjie_compiler/src/Sema/Collector.h:77	BOOTSTRAP	REMAINING	MISSING exact identifier `CollectPropDecl`: absent in current packages/
b1	MISSING	CollectVarWithPatternDecl	/root/cj_build/cangjie_compiler/src/Sema/Collector.h:78	BOOTSTRAP	REMAINING	MISSING exact identifier `CollectVarWithPatternDecl`: absent in current packages/
b1	MISSING	CollectTypeAliasDecl	/root/cj_build/cangjie_compiler/src/Sema/Collector.h:80	BOOTSTRAP	REMAINING	MISSING exact identifier `CollectTypeAliasDecl`: absent in current packages/
b1	MISSING	CollectIfExpr	/root/cj_build/cangjie_compiler/src/Sema/Collector.h:81	BOOTSTRAP	REMAINING	MISSING exact identifier `CollectIfExpr`: absent in current packages/
b1	MISSING	CollectCondition	/root/cj_build/cangjie_compiler/src/Sema/Collector.h:82	BOOTSTRAP	FIXED	MISSING at audit base; now packages/sema/src/Collector.cj:647 `private func CollectCondition(ctx: ASTContext, e: Expr): Unit {` (+5 matches); added by 475fffaa `fix(sema): collect pattern conditions in scopes` (packages/sema/src/Collector.cj)
b1	MISSING	CollectWhileExpr	/root/cj_build/cangjie_compiler/src/Sema/Collector.h:83	BOOTSTRAP	REMAINING	MISSING exact identifier `CollectWhileExpr`: absent in current packages/
b1	MISSING	CollectStrInterpolationExpr	/root/cj_build/cangjie_compiler/src/Sema/Collector.h:85	BOOTSTRAP	REMAINING	MISSING exact identifier `CollectStrInterpolationExpr`: absent in current packages/
b1	MISSING	CollectInterpolationExpr	/root/cj_build/cangjie_compiler/src/Sema/Collector.h:86	BOOTSTRAP	REMAINING	MISSING exact identifier `CollectInterpolationExpr`: absent in current packages/
b1	MISSING	CollectTryExpr	/root/cj_build/cangjie_compiler/src/Sema/Collector.h:87	BOOTSTRAP	REMAINING	MISSING exact identifier `CollectTryExpr`: absent in current packages/
b1	MISSING	CollectSpawnExpr	/root/cj_build/cangjie_compiler/src/Sema/Collector.h:88	BOOTSTRAP	REMAINING	MISSING exact identifier `CollectSpawnExpr`: absent in current packages/
b1	MISSING	CollectQuoteExpr	/root/cj_build/cangjie_compiler/src/Sema/Collector.h:90	BOOTSTRAP	REMAINING	MISSING exact identifier `CollectQuoteExpr`: absent in current packages/
b1	MISSING	DiagRedefinitionWithFoundNode	/root/cj_build/cangjie_compiler/src/Sema/Diags.h:25	DIAG	REMAINING	MISSING exact identifier `DiagRedefinitionWithFoundNode`: absent in current packages/
b1	MISSING	DiagOverloadConflict	/root/cj_build/cangjie_compiler/src/Sema/Diags.h:26	DIAG	REMAINING	MISSING exact identifier `DiagOverloadConflict`: absent in current packages/
b1	MISSING	DiagUnableToInferReturnType	/root/cj_build/cangjie_compiler/src/Sema/Diags.h:41	DIAG	FIXED	MISSING at audit base; now packages/sema/src/TypeCheckCall.cj:124 `private func DiagUnableToInferReturnType(diag: BasicDiagnosticEngine, funcDecl: FuncDecl, expr: Expr): Unit {` (+6 matches); added by ab03a42e `fix: port sema function body leaf helpers` (packages/sema/src/TypeCheckExpr/Diags.cj)
b1	MISSING	DiagUnableToInferReturnType	/root/cj_build/cangjie_compiler/src/Sema/Diags.h:42	DIAG	FIXED	MISSING at audit base; now packages/sema/src/TypeCheckCall.cj:124 `private func DiagUnableToInferReturnType(diag: BasicDiagnosticEngine, funcDecl: FuncDecl, expr: Expr): Unit {` (+6 matches); added by ab03a42e `fix: port sema function body leaf helpers` (packages/sema/src/TypeCheckExpr/Diags.cj)
b1	MISSING	DiagUnableToInferReturnType	/root/cj_build/cangjie_compiler/src/Sema/Diags.h:43	DIAG	FIXED	MISSING at audit base; now packages/sema/src/TypeCheckCall.cj:124 `private func DiagUnableToInferReturnType(diag: BasicDiagnosticEngine, funcDecl: FuncDecl, expr: Expr): Unit {` (+6 matches); added by ab03a42e `fix: port sema function body leaf helpers` (packages/sema/src/TypeCheckExpr/Diags.cj)
b1	MISSING	DiagGenericFuncWithoutTypeArg	/root/cj_build/cangjie_compiler/src/Sema/Diags.h:46	DIAG	REMAINING	MISSING exact identifier `DiagGenericFuncWithoutTypeArg`: absent in current packages/
b1	MISSING	DiagStaticAndNonStaticOverload	/root/cj_build/cangjie_compiler/src/Sema/Diags.h:47	DIAG	REMAINING	MISSING exact identifier `DiagStaticAndNonStaticOverload`: absent in current packages/
b1	MISSING	DiagCannotAssignToImmutable	/root/cj_build/cangjie_compiler/src/Sema/Diags.h:49	DIAG	REMAINING	MISSING exact identifier `DiagCannotAssignToImmutable`: absent in current packages/
b1	MISSING	DiagCJMPCannotAssignToImmutableCommonInCtor	/root/cj_build/cangjie_compiler/src/Sema/Diags.h:50	DIAG	REMAINING	MISSING exact identifier `DiagCJMPCannotAssignToImmutableCommonInCtor`: absent in current packages/
b1	MISSING	DiagCannotOverride	/root/cj_build/cangjie_compiler/src/Sema/Diags.h:51	DIAG	FIXED	MISSING at audit base; now packages/sema/src/Diags.cj:284 `public func DiagCannotOverride(diag: BasicDiagnosticEngine, child: Decl, parent: Decl): Unit {` (+1 matches); added by 4165ac5a `fix(sema): port cannot-override diagnostic helper` (packages/sema/src/Diags.cj)
b1	MISSING	DiagCannotHaveDefaultParam	/root/cj_build/cangjie_compiler/src/Sema/Diags.h:52	DIAG	FIXED	MISSING at audit base; now packages/sema/src/Diags.cj:193 `public func DiagCannotHaveDefaultParam(diag: BasicDiagnosticEngine, fd: FuncDecl, fp: FuncParam): Unit {` (+1 matches); added by af1f08d0 `fix(sema): diagnose invalid default parameters` (packages/sema/src/Diags.cj); FEATURE_DEBT.md mentions this identifier
b1	MISSING	DiagInvalidAssign	/root/cj_build/cangjie_compiler/src/Sema/Diags.h:55	DIAG	REMAINING	MISSING exact identifier `DiagInvalidAssign`: absent in current packages/
b1	MISSING	DiagPatternInternalTypesUse	/root/cj_build/cangjie_compiler/src/Sema/Diags.h:58	DIAG	REMAINING	MISSING exact identifier `DiagPatternInternalTypesUse`: absent in current packages/
b1	MISSING	DiagAmbiguousUpperBoundTargets	/root/cj_build/cangjie_compiler/src/Sema/Diags.h:64	DIAG	REMAINING	MISSING exact identifier `DiagAmbiguousUpperBoundTargets`: absent in current packages/
b1	MISSING	DiagUseClosureCaptureVarAlone	/root/cj_build/cangjie_compiler/src/Sema/Diags.h:67	DIAG	REMAINING	MISSING exact identifier `DiagUseClosureCaptureVarAlone`: absent in current packages/
b1	MISSING	DiagForStaticVariableDependsGeneric	/root/cj_build/cangjie_compiler/src/Sema/Diags.h:71	DIAG	REMAINING	MISSING exact identifier `DiagForStaticVariableDependsGeneric`: absent in current packages/
b1	MISSING	CombineErrMsg	/root/cj_build/cangjie_compiler/src/Sema/JoinAndMeet.h:63	BOOTSTRAP	REMAINING	MISSING exact identifier `CombineErrMsg`: absent in current packages/
b1	MISSING	AddFinalErrMsgs	/root/cj_build/cangjie_compiler/src/Sema/JoinAndMeet.h:89	BOOTSTRAP	REMAINING	MISSING exact identifier `AddFinalErrMsgs`: absent in current packages/
b1	MISSING	Unify	/root/cj_build/cangjie_compiler/src/Sema/LocalTypeArgumentSynthesis.h:70	BC	UNSURE	identifier exists but mapping/signature is ambiguous (15 matches); first packages/sema/src/LocalTypeArgumentSynthesis.cj:287 `let unified = LocalTypeArgumentSynthesis.Unify(this, cms,` (+14 matches)
b1	MISSING	SolveConstraints	/root/cj_build/cangjie_compiler/src/Sema/LocalTypeArgumentSynthesis.h:71	BC	UNSURE	identifier exists but mapping/signature is ambiguous (4 matches); first packages/sema/src/LocalTypeArgumentSynthesis.cj:403 `public static func SolveConstraints(typeManager: TypeManager, cst: Constraint): Option<TypeSubst> {` (+3 matches)
b1	MISSING	SolveConstraints	/root/cj_build/cangjie_compiler/src/Sema/LocalTypeArgumentSynthesis.h:101	BC	UNSURE	identifier exists but mapping/signature is ambiguous (4 matches); first packages/sema/src/LocalTypeArgumentSynthesis.cj:403 `public static func SolveConstraints(typeManager: TypeManager, cst: Constraint): Option<TypeSubst> {` (+3 matches)
b1	MISSING	GetOutMostSymbol	/root/cj_build/cangjie_compiler/src/Sema/ScopeManager.h:66	BOOTSTRAP	UNSURE	identifier exists but mapping/signature is ambiguous (7 matches); first packages/sema/src/TypeCheckAccess.cj:518 `if (let None <- ScopeManager.GetOutMostSymbol(ctx, SymbolKind.FUNC_LIKE, expr.scopeName)) {` (+6 matches)
b1	MISSING	MergeSubstPack	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckUtil.h:162	BOOTSTRAP	REMAINING	MISSING exact identifier `MergeSubstPack`: absent in current packages/
b1	MISSING	CollectAllRelatedExtends	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckUtil.h:212	BOOTSTRAP	FIXED	MISSING at audit base; now packages/sema/src/GenericInstantiation/ImplUtils.cj:104 `public func CollectAllRelatedExtends(typeManager: TypeManager, boxedDecl: InheritableDecl): ArrayList<Exten...` (+1 matches); added by f32cd2e4 `sema: build generic abstract-func map` (packages/sema/src/GenericInstantiation/ImplUtils.cj)
b1	MISSING	GetContextGenericTys	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckUtil.h:213	BOOTSTRAP	REMAINING	MISSING exact identifier `GetContextGenericTys`: absent in current packages/
b1	MISSING	GetCurFuncBody	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckUtil.h:215	BOOTSTRAP	FIXED	MISSING at audit base; now packages/sema/src/TypeCheckCall.cj:3593 `private func GetCurFuncBody(ctx: ASTContext, scopeName: String): Option<FuncBody> {` (+1 matches); added by 247c87e0 `fix(sema): port static call access check` (packages/sema/src/TypeCheckCall.cj)
b1	MISSING	GetTyVars	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckUtil.h:225	BOOTSTRAP	REMAINING	MISSING exact identifier `GetTyVars`: absent in current packages/
b1	MISSING	GetTyVarsToSolve	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckUtil.h:226	BOOTSTRAP	FIXED	MISSING at audit base; now packages/sema/src/TypeCheckUtil.cj:848 `public func GetTyVarsToSolve(maps: SubstPack): ArrayList<GenericsTy> {` (+1 matches); added by 4e12b631 `feat: port call inference argument combinations` (packages/sema/src/TypeCheckUtil.cj)
b1	MISSING	HasTyVarsToSolve	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckUtil.h:227	BOOTSTRAP	FIXED	MISSING at audit base; now packages/sema/src/TypeCheckUtil.cj:818 `public func HasTyVarsToSolve(maps: SubstPack): Bool {` (+2 matches); added by 9bcbc153 `feat: port C2a substitution-pack and generic-param helpers, add generic-call gate` (packages/sema/src/TypeCheckUtil.cj)
b1	MISSING	GetLastTypeAliasTarget	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckUtil.h:264	BOOTSTRAP	REMAINING	MISSING exact identifier `GetLastTypeAliasTarget`: absent in current packages/
b1	MISSING	TryEnforceCandidate	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckUtil.h:271	BOOTSTRAP	FIXED	MISSING at audit base; now packages/sema/src/TypeCheckUtil.cj:898 `public func TryEnforceCandidate(tv: GenericsTy, candidates: ArrayList<Decl>, tyMgr: TypeManager): Unit {` (+1 matches); added by c20fac32 `wip: chir ②fix(TypeChecker+254)+Cut1 provider; blocked at deeper pointer-identity` (packages/sema/src/TypeCheckUtil.cj)
b1	MISSING	TypeMapToTys	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckUtil.h:272	BOOTSTRAP	FIXED	MISSING at audit base; now packages/sema/src/TypeCheckUtil.cj:157 `public func TypeMapToTys(m: ArrayList<(TypeKind, TypeKind)>, fromKey: Bool): TySet {` (+3 matches); added by 8c43fd0a `fix: port sema builtin candidate constraints` (packages/sema/src/TypeCheckUtil.cj)
b1	MISSING	GetGenericParamsForDecl	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckUtil.h:274	BOOTSTRAP	FIXED	MISSING at audit base; now packages/sema/src/TypeCheckUtil.cj:925 `public func GetGenericParamsForDecl(decl: Decl): TySet {` (+7 matches); added by 9bcbc153 `feat: port C2a substitution-pack and generic-param helpers, add generic-call gate` (packages/sema/src/TypeCheckUtil.cj)
b1	MISSING	GetGenericParamsForTy	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckUtil.h:276	BOOTSTRAP	FIXED	MISSING at audit base; now packages/sema/src/TypeCheckUtil.cj:958 `public func GetGenericParamsForTy(ty: Ty): TySet {` (+1 matches); added by 9bcbc153 `feat: port C2a substitution-pack and generic-param helpers, add generic-call gate` (packages/sema/src/TypeCheckUtil.cj)
b1	MISSING	GetGenericParamsForCall	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckUtil.h:278	BOOTSTRAP	FIXED	MISSING at audit base; now packages/sema/src/TypeCheckUtil.cj:966 `public func GetGenericParamsForCall(ce: CallExpr, fd: FuncDecl): TySet {` (+1 matches); added by 9bcbc153 `feat: port C2a substitution-pack and generic-param helpers, add generic-call gate` (packages/sema/src/TypeCheckUtil.cj)
b1	MISSING	GenerateGetTypeForTypeParamIntrinsic	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckUtil.h:294	BOOTSTRAP	REMAINING	MISSING exact identifier `GenerateGetTypeForTypeParamIntrinsic`: absent in current packages/
b1	MISSING	GenerateIsSubtypeTypesIntrinsic	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckUtil.h:301	BOOTSTRAP	REMAINING	MISSING exact identifier `GenerateIsSubtypeTypesIntrinsic`: absent in current packages/
b1	MISSING	CreateGenericParamDecl	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckUtil.h:305	BOOTSTRAP	REMAINING	MISSING exact identifier `CreateGenericParamDecl`: absent in current packages/
b1	MISSING	FindCorrespondingCommonDecl	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckUtil.h:352	BOOTSTRAP	REMAINING	MISSING exact identifier `FindCorrespondingCommonDecl`: absent in current packages/
b1	MISSING	PerformDesugarAfterInstantiation	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckerImpl.h:149	BOOTSTRAP	REMAINING	MISSING exact identifier `PerformDesugarAfterInstantiation`: absent in current packages/
b1	MISSING	ParsePackageConfigFile	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckerImpl.h:152	BOOTSTRAP	REMAINING	MISSING exact identifier `ParsePackageConfigFile`: absent in current packages/
b1	MISSING	PerformDesugarAfterSema	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckerImpl.h:155	BOOTSTRAP	REMAINING	MISSING exact identifier `PerformDesugarAfterSema`: absent in current packages/
b1	MISSING	IsChecked	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckerImpl.h:180	BOOTSTRAP	REMAINING	MISSING exact identifier `IsChecked`: absent in current packages/
b1	MISSING	PerformBasicChecksForCheck	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckerImpl.h:181	BOOTSTRAP	REMAINING	MISSING exact identifier `PerformBasicChecksForCheck`: absent in current packages/
b1	MISSING	CheckRedefinitionInDeclHelper	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckerImpl.h:226	BOOTSTRAP	REMAINING	MISSING exact identifier `CheckRedefinitionInDeclHelper`: absent in current packages/
b1	MISSING	CollectDeclMapAndCheckRedefinitionForOneSymbol	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckerImpl.h:237	BOOTSTRAP	REMAINING	MISSING exact identifier `CollectDeclMapAndCheckRedefinitionForOneSymbol`: absent in current packages/
b1	MISSING	GetTyFromASTCFuncType	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckerImpl.h:249	BOOTSTRAP	REMAINING	MISSING exact identifier `GetTyFromASTCFuncType`: absent in current packages/
b1	MISSING	GetTyFromBuiltinDecl	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckerImpl.h:257	BOOTSTRAP	REMAINING	MISSING exact identifier `GetTyFromBuiltinDecl`: absent in current packages/
b1	MISSING	GetBuiltInArrayType	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckerImpl.h:258	BOOTSTRAP	REMAINING	MISSING exact identifier `GetBuiltInArrayType`: absent in current packages/
b1	MISSING	GetBuiltInVArrayType	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckerImpl.h:259	BOOTSTRAP	REMAINING	MISSING exact identifier `GetBuiltInVArrayType`: absent in current packages/
b1	MISSING	GetBuiltinCFuncType	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckerImpl.h:260	BOOTSTRAP	REMAINING	MISSING exact identifier `GetBuiltinCFuncType`: absent in current packages/
b1	MISSING	GetBuiltInPointerType	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckerImpl.h:261	BOOTSTRAP	REMAINING	MISSING exact identifier `GetBuiltInPointerType`: absent in current packages/
b1	MISSING	CollectDeclsWithMember	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckerImpl.h:310	BOOTSTRAP	FIXED	MISSING at audit base; now packages/sema/src/TypeCheckExpr/TypeChecker.cj:562 `CollectDeclsWithMember(pkg, ctx)` (+1 matches); added by 4d1ebdc0 `feat: wire sema import manager c1a surface` (packages/sema/src/TypeCheckExpr/TypeChecker.cj)
b1	MISSING	PreCheckUsage	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckerImpl.h:316	BOOTSTRAP	REMAINING	MISSING exact identifier `PreCheckUsage`: absent in current packages/
b1	MISSING	PreCheckInvalidInherit	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckerImpl.h:317	BOOTSTRAP	REMAINING	MISSING exact identifier `PreCheckInvalidInherit`: absent in current packages/
b1	MISSING	CheckTypeAliasCycleForOneDecl	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckerImpl.h:327	BOOTSTRAP	REMAINING	MISSING exact identifier `CheckTypeAliasCycleForOneDecl`: absent in current packages/
b1	MISSING	CheckTypeAliasCycleForOneType	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckerImpl.h:338	BOOTSTRAP	REMAINING	MISSING exact identifier `CheckTypeAliasCycleForOneType`: absent in current packages/
b1	MISSING	StructDeclCircleOrDupCheck	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckerImpl.h:343	BOOTSTRAP	REMAINING	MISSING exact identifier `StructDeclCircleOrDupCheck`: absent in current packages/
b1	MISSING	StructDeclCircleOrDupCheckForOneSymbol	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckerImpl.h:357	BOOTSTRAP	REMAINING	MISSING exact identifier `StructDeclCircleOrDupCheckForOneSymbol`: absent in current packages/
b1	MISSING	CollectAndCheckAssumption	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckerImpl.h:367	BOOTSTRAP	REMAINING	MISSING exact identifier `CollectAndCheckAssumption`: absent in current packages/
b1	MISSING	CollectAssumption	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckerImpl.h:371	BOOTSTRAP	REMAINING	MISSING exact identifier `CollectAssumption`: absent in current packages/
b1	MISSING	CheckUpperBoundsLegality	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckerImpl.h:375	BOOTSTRAP	REMAINING	MISSING exact identifier `CheckUpperBoundsLegality`: absent in current packages/
b1	MISSING	CheckUpperBoundsLegalityRecursively	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckerImpl.h:379	BOOTSTRAP	REMAINING	MISSING exact identifier `CheckUpperBoundsLegalityRecursively`: absent in current packages/
b1	MISSING	CheckAssumption	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckerImpl.h:386	BOOTSTRAP	REMAINING	MISSING exact identifier `CheckAssumption`: absent in current packages/
b1	MISSING	ExposeGenericUpperBounds	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckerImpl.h:392	BOOTSTRAP	REMAINING	MISSING exact identifier `ExposeGenericUpperBounds`: absent in current packages/
b1	MISSING	AssumptionSanityCheck	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckerImpl.h:396	BOOTSTRAP	REMAINING	MISSING exact identifier `AssumptionSanityCheck`: absent in current packages/
b1	MISSING	SanityCheckForOneGenericTy	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckerImpl.h:400	BOOTSTRAP	REMAINING	MISSING exact identifier `SanityCheckForOneGenericTy`: absent in current packages/
b1	MISSING	ValidRecursiveConstraintCheck	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckerImpl.h:405	BOOTSTRAP	REMAINING	MISSING exact identifier `ValidRecursiveConstraintCheck`: absent in current packages/
b1	MISSING	SanityCheckForClassUpperBounds	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckerImpl.h:415	BOOTSTRAP	REMAINING	MISSING exact identifier `SanityCheckForClassUpperBounds`: absent in current packages/
b1	MISSING	CheckAndReduceUpperBounds	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckerImpl.h:420	BOOTSTRAP	REMAINING	MISSING exact identifier `CheckAndReduceUpperBounds`: absent in current packages/
b1	MISSING	IgnoreAssumptionForTypeAliasDecls	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckerImpl.h:424	BOOTSTRAP	REMAINING	MISSING exact identifier `IgnoreAssumptionForTypeAliasDecls`: absent in current packages/
b1	MISSING	AddAssumptionForExtendDecls	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckerImpl.h:425	BOOTSTRAP	REMAINING	MISSING exact identifier `AddAssumptionForExtendDecls`: absent in current packages/
b1	MISSING	AddAssumptionForType	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckerImpl.h:440	BOOTSTRAP	REMAINING	MISSING exact identifier `AddAssumptionForType`: absent in current packages/
b1	MISSING	GetAllAssumptions	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckerImpl.h:447	BOOTSTRAP	REMAINING	MISSING exact identifier `GetAllAssumptions`: absent in current packages/
b1	MISSING	AddSuperClassObjectForClassDecl	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckerImpl.h:451	BOOTSTRAP	REMAINING	MISSING exact identifier `AddSuperClassObjectForClassDecl`: absent in current packages/
b1	MISSING	AddSuperInterfaceForClassLikeDecl	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckerImpl.h:455	BOOTSTRAP	REMAINING	MISSING exact identifier `AddSuperInterfaceForClassLikeDecl`: absent in current packages/
b1	MISSING	HasSuperClass	/root/cj_build/cangjie_compiler/src/Sema/TypeCheckerImpl.h:458	BOOTSTRAP	REMAINING	MISSING exact identifier `HasSuperClass`: absent in current packages/
